"No 및 소계","1차사업소","2차사업소","3차사업소","4차사업소","사용량","사용금액","사용량","사용금액","사용량","사용금액"
"124","대전세종충남본부","청양전력지사","","","19430","4223960","0","0","0","0"
"125","대전세종충남본부","서산전력지사","","","34032","7701620","0","0","0","0"
"126","대전세종충남본부","대덕유성지사","","","121085","13516140","0","0","19021.04","2612197"
"127","대전세종충남본부","부여지사","","","40752","4357500","0","0","0","0"
"128","대전세종충남본부","홍성지사","","","54076","7709330","0","0","0","0"
"129","대전세종충남본부","천안지사","","","110346","14007390","0","0","0","0"
"130","대전세종충남본부","아산지사","","","71054","9011430","0","0","0","0"
"131","대전세종충남본부","논산지사","","","54797","7237240","0","0","0","0"
"132","대전세종충남본부","세종지사","","","72055","10778050","0","0","0","0"
"133","대전세종충남본부","금산지사","","","43805","5673260","0","0","2551.4","370417"
"134","대전세종충남본부","예산지사","","","91253","9344810","0","0","0","0"
"135","대전세종충남본부","공주지사","","","84398","10313690","0","0","0","0"
"136","대전세종충남본부","서천지사","","","45084","5838940","0","0","0","0"
"137","대전세종충남본부","당진지사","","","73444","8147380","0","0","0","0"
"138","대전세종충남본부","청양지사","","","34682","3689410","0","0","0","0"
"139","대전세종충남본부","서산지사","","","68337","8808070","0","0","0","0"
"140","대전세종충남본부","태안지사","","","56305","6565450","0","0","728.74","91513"
"141","대전세종충남본부","태안지사","고객지원부","종합봉사파트","6458","298980","0","0","5764.88","877124"
"142","대전세종충남본부","보령지사","","","82691","10334890","0","0","0","0"
"143","대전세종충남본부","서대전지사","","","57832","2428380","0","0","38188.61","5514054"
"144","대전세종충남본부","세종전력지사","","","16944","3220070","0","0","0","0"
"대전세종충남본부 소계","","","","","1786813","218242120","0","0","66254.67","9465305"
"145","전북본부","무주지사","","","46652","6713420","0","0","170.35","24771"
"146","전북본부","남원지사","","","54966","8237260","0","0","906.32","129369"
"147","전북본부","고창지사","","","60223","6620050","0","0","1426.04","194869"
"148","전북본부","진안지사","","","37385","4000730","0","0","257.98","41273"
"149","전북본부","정읍지사","","","93362","11845160","0","0","1572.8","205548"
"150","전북본부","임실지사","","","51301","5278030","0","0","727.94","105454"
"151","전북본부","장수지사","","","40139","4641420","0","0","630.44","94119"
"152","전북본부","김제지사","","","56169","6845380","0","0","3127.94","453031"
"153","전북본부","순창지사","","","38205","3571030","0","0","0","0"
"154","전북본부","익산지사","","","91990","9023200","0","0","1050.74","141594"
"155","전북본부","부안지사","","","43936","6978740","0","0","0","0"
"156","전북본부","군산지사","","","54819","7406400","0","0","0","0"
"157","전북본부","남전주지사","","","52352","11388070","0","0","0","0"
"158","전북본부","전력사업처","","","34307","5820840","0","0","0","0"
"159","전북본부","전력관리처","","","293837","37156280","0","0","1981.01","274424"
"160","전북본부","기획관리실","","","279180","33291000","0","0","6781.52","1019712"
"전북본부 소계","","","","","1328823","168817010","0","0","18633.08","2684164"
"161","광주전남본부","광주전력지사","","","49205","8485360","0","0","0","0"
"162","광주전남본부","보성지사","","","56648","7806390","0","0","0","0"
"163","광주전남본부","서광주지사","","","42836","4929490","0","0","650.6","72917"
"164","광주전남본부","서광주지사","전력공급부","","3610","116220","0","0","1873.82","204111"
"165","광주전남본부","서광주지사","배전운영부","","360","37620","0","0","0","0"
"166","광주전남본부","광산지사","","","184128","27136260","0","0","0","0"
"167","광주전남본부","광산지사","전력공급부","","7077","266520","0","0","3092.29","379702"
"168","광주전남본부","목포지사","","","106167","15372580","0","0","0","0"
"169","광주전남본부","목포지사","전력공급부","","3154","127390","0","0","2368.64","259068"
